car_code,category_key,category_title,name,status
CAR001,safety,Safety,Engine immobilizer,flawless
CAR001,safety,Safety,Anti theft device,flawless
CAR001,safety,Safety,Headlight and ignition off reminder,little_flaw
CAR001,safety,Safety,Central locking,flawless
CAR001,safety,Safety,Speed sensing central door locking,little_flaw
CAR001,safety,Safety,Power door locks,damaged
CAR001,safety,Safety,Child safety lock,damaged
CAR001,safety,Safety,Low fuel level warning,flawless
CAR001,safety,Safety,Door ajar warning,little_flaw
CAR001,comfort_convenience,Comfort & convenience,Anti-glare mirrors - Manual,flawless
CAR001,comfort_convenience,Comfort & convenience,Folding rear seat,flawless
CAR001,comfort_convenience,Comfort & convenience,Power windows,little_flaw
CAR001,comfort_convenience,Comfort & convenience,Distance to empty display,flawless
CAR001,comfort_convenience,Comfort & convenience,Air conditioner,flawless
CAR001,comfort_convenience,Comfort & convenience,Power steering,damaged
CAR001,comfort_convenience,Comfort & convenience,12V power outlets,little_flaw
CAR001,comfort_convenience,Comfort & convenience,Vanity mirror on sun visors,flawless
CAR001,comfort_convenience,Comfort & convenience,Adjustable ORVM,little_flaw
CAR001,comfort_convenience,Comfort & convenience,One touch-down power windows - Driver,little_flaw
CAR001,comfort_convenience,Comfort & convenience,Cup holders,flawless
CAR001,comfort_convenience,Comfort & convenience,Adjustable cluster brightness,little_flaw
CAR001,comfort_convenience,Comfort & convenience,Digital Clock,damaged
CAR001,comfort_convenience,Comfort & convenience,Power windows position - Front and rear seats,little_flaw
CAR001,comfort_convenience,Comfort & convenience,Rear armrest cup holders,flawless
CAR001,comfort_convenience,Comfort & convenience,Power steering type - EPS,little_flaw
CAR001,comfort_convenience,Comfort & convenience,Dual zone climate control,little_flaw
CAR001,comfort_convenience,Comfort & convenience,Automatic climate control,flawless
CAR001,comfort_convenience,Comfort & convenience,Steering wheel gearshift paddles,flawless
CAR001,comfort_convenience,Comfort & convenience,Third row cup holders,little_flaw
CAR001,comfort_convenience,Comfort & convenience,Three zone climate control,flawless
CAR001,comfort_convenience,Comfort & convenience,Electrically adjustable ORVM,little_flaw
CAR001,comfort_convenience,Comfort & convenience,Auto dimming IRVM,flawless
CAR001,interior,Interior,Door pockets,flawless
CAR001,interior,Interior,Seat upholstery type - Fabric seats,flawless
CAR001,interior,Interior,Digital tripmeter,flawless
CAR001,interior,Interior,Headrests,flawless
CAR001,interior,Interior,Interior door handles,flawless
CAR001,interior,Interior,Digital cockpit,flawless
CAR001,interior,Interior,Digital odometer,flawless
CAR001,interior,Interior,Digital Instrument cluster,flawless
CAR001,exterior,Exterior,Outside rear view mirrors (ORVMs),little_flaw
CAR001,exterior,Exterior,Rear power window,flawless
CAR001,exterior,Exterior,Body colored bumpers,damaged
CAR001,exterior,Exterior,Tail lamps - Conventional,flawless
CAR001,exterior,Exterior,Exterior door handle colour - Body Coloured,flawless
CAR001,exterior,Exterior,Headlights Bulb type - Halogen,flawless
CAR001,exterior,Exterior,Tail lamps type - Conventional,flawless
CAR001,exterior,Exterior,Xenon headlamps / hid-headlamps,flawless
CAR002,safety,Safety,Engine immobilizer,flawless
CAR002,safety,Safety,Anti theft device,flawless
CAR002,safety,Safety,Headlight and ignition off reminder,flawless
CAR002,safety,Safety,Central locking,flawless
CAR002,safety,Safety,Speed sensing central door locking,flawless
CAR002,safety,Safety,Power door locks,flawless
CAR002,safety,Safety,Child safety lock,flawless
CAR002,safety,Safety,Low fuel level warning,flawless
CAR002,safety,Safety,Door ajar warning,flawless
CAR002,comfort_convenience,Comfort & convenience,Anti-glare mirrors - Manual,little_flaw
CAR002,comfort_convenience,Comfort & convenience,Folding rear seat,flawless
CAR002,comfort_convenience,Comfort & convenience,Power windows,little_flaw
CAR002,comfort_convenience,Comfort & convenience,Distance to empty display,flawless
CAR002,comfort_convenience,Comfort & convenience,Air conditioner,flawless
CAR002,comfort_convenience,Comfort & convenience,Power steering,little_flaw
CAR002,comfort_convenience,Comfort & convenience,12V power outlets,flawless
CAR002,comfort_convenience,Comfort & convenience,Vanity mirror on sun visors,flawless
CAR002,comfort_convenience,Comfort & convenience,Adjustable ORVM,flawless
CAR002,comfort_convenience,Comfort & convenience,One touch-down power windows - Driver,little_flaw
