car_code,category_key,category_title,name,status
CAR001,safety,Safety,Engine immobilizer,flawless
CAR001,safety,Safety,Anti theft device,flawless
CAR001,safety,Safety,Headlight and ignition off reminder,little_flaw
CAR001,safety,Safety,Central locking,little_flaw
CAR001,safety,Safety,Speed sensing central door locking,little_flaw
CAR001,safety,Safety,Power door locks,flawless
CAR001,safety,Safety,Child safety lock,flawless
CAR001,safety,Safety,Low fuel level warning,little_flaw
CAR001,safety,Safety,Door ajar warning,little_flaw
CAR001,comfort_convenience,Comfort Convenience,Anti-glare mirrors - Manual,little_flaw
CAR001,comfort_convenience,Comfort Convenience,Folding rear seat,flawless
CAR001,comfort_convenience,Comfort Convenience,Power windows,damaged
CAR001,comfort_convenience,Comfort Convenience,Distance to empty display,little_flaw
CAR001,comfort_convenience,Comfort Convenience,Air conditioner,damaged
CAR001,comfort_convenience,Comfort Convenience,Power steering,flawless
CAR001,comfort_convenience,Comfort Convenience,12V power outlets,flawless
CAR001,comfort_convenience,Comfort Convenience,Vanity mirror on sun visors,flawless
CAR001,comfort_convenience,Comfort Convenience,Adjustable ORVM,flawless
CAR001,comfort_convenience,Comfort Convenience,One touch-down power windows - Driver,flawless
CAR001,comfort_convenience,Comfort Convenience,Cup holders,flawless
CAR001,comfort_convenience,Comfort Convenience,Adjustable cluster brightness,little_flaw
CAR001,comfort_convenience,Comfort Convenience,Digital Clock,flawless
CAR001,comfort_convenience,Comfort Convenience,Power windows position - Front and rear seats,damaged
CAR001,comfort_convenience,Comfort Convenience,Rear armrest cup holders,flawless
CAR001,comfort_convenience,Comfort Convenience,Power steering type - EPS,flawless
CAR001,comfort_convenience,Comfort Convenience,Dual zone climate control,little_flaw
CAR001,comfort_convenience,Comfort Convenience,Automatic climate control,flawless
CAR001,comfort_convenience,Comfort Convenience,Steering wheel gearshift paddles,flawless
CAR001,comfort_convenience,Comfort Convenience,Third row cup holders,flawless
CAR001,comfort_convenience,Comfort Convenience,Three zone climate control,flawless
CAR001,comfort_convenience,Comfort Convenience,Electrically adjustable ORVM,damaged
CAR001,comfort_convenience,Comfort Convenience,Auto dimming IRVM,flawless
CAR001,interior,Interior,Door pockets,flawless
CAR001,interior,Interior,Seat upholstery type - Fabric seats,flawless
CAR001,interior,Interior,Digital tripmeter,little_flaw
CAR001,interior,Interior,Headrests,little_flaw
CAR001,interior,Interior,Interior door handles,flawless
CAR001,interior,Interior,Digital cockpit,little_flaw
CAR001,interior,Interior,Digital odometer,damaged
CAR001,interior,Interior,Digital Instrument cluster,flawless
CAR001,exterior,Exterior,Outside rear view mirrors (ORVMs),flawless
CAR001,exterior,Exterior,Rear power window,flawless
CAR001,exterior,Exterior,Body colored bumpers,flawless
CAR001,exterior,Exterior,Tail lamps - Conventional,flawless
CAR001,exterior,Exterior,Exterior door handle colour - Body Coloured,flawless
CAR001,exterior,Exterior,Headlights Bulb type - Halogen,flawless
CAR001,exterior,Exterior,Tail lamps type - Conventional,flawless
CAR001,exterior,Exterior,Xenon headlamps / hid-headlamps,little_flaw
CAR002,safety,Safety,Engine immobilizer,flawless
CAR002,safety,Safety,Anti theft device,little_flaw
CAR002,safety,Safety,Headlight and ignition off reminder,flawless
CAR002,safety,Safety,Central locking,little_flaw
CAR002,safety,Safety,Speed sensing central door locking,little_flaw
CAR002,safety,Safety,Power door locks,flawless
CAR002,safety,Safety,Child safety lock,flawless
CAR002,safety,Safety,Low fuel level warning,flawless
CAR002,safety,Safety,Door ajar warning,flawless
CAR002,comfort_convenience,Comfort Convenience,Anti-glare mirrors - Manual,little_flaw
CAR002,comfort_convenience,Comfort Convenience,Folding rear seat,flawless
CAR002,comfort_convenience,Comfort Convenience,Power windows,flawless
CAR002,comfort_convenience,Comfort Convenience,Distance to empty display,damaged
CAR002,comfort_convenience,Comfort Convenience,Air conditioner,flawless
CAR002,comfort_convenience,Comfort Convenience,Power steering,flawless
CAR002,comfort_convenience,Comfort Convenience,12V power outlets,little_flaw
CAR002,comfort_convenience,Comfort Convenience,Vanity mirror on sun visors,flawless
CAR002,comfort_convenience,Comfort Convenience,Adjustable ORVM,flawless
CAR002,comfort_convenience,Comfort Convenience,One touch-down power windows - Driver,flawless
