car_code,category_key,image,caption,sort_order
CAR001,exterior,cars/images/Creta_2023 (1).avif,Front View,1  
CAR001,exterior,cars/images/Creta_2023 (2).avif,Front View,1  
CAR001,exterior,cars/images/Creta_2023 (3).avif,Front View,1  
CAR001,exterior,cars/images/Creta_2023 (4).avif,Front View,1  
CAR001,exterior,cars/images/Creta_2023 (5).avif,Front View,1  
CAR001,exterior,cars/images/Creta_2023 (6).avif,Front View,1  
CAR001,exterior,cars/images/Creta_2023 (7).avif,Front View,1  
CAR001,exterior,cars/images/Creta_2023 (8).avif,Front View,1  
CAR001,exterior,cars/images/Creta_2023 (9).avif,Front View,1  
CAR001,exterior,cars/images/Creta_2023 (10).avif,Front View,1  
CAR001,exterior,cars/images/Creta_2023 (11).avif,Front View,1  
CAR001,exterior,cars/images/Creta_2023 (13).avif,Front View,1  
CAR002,exterior,cars/images/suv.png,Front View,1
CAR002,exterior,cars/images/suv.png,Rear View,2
CAR002,interior,cars/images/suv.png,Interior,3
CAR003,exterior,cars/images/Ameo2018 (1).avif,Front View,1  
CAR003,exterior,cars/images/Ameo2018 (2).avif,Front View,1   
CAR003,exterior,cars/images/Ameo2018 (5).avif,Front View,1  
CAR003,exterior,cars/images/Ameo2018 (6).avif,Front View,1  
CAR003,exterior,cars/images/Ameo2018 (7).avif,Front View,1 
CAR003,exterior,cars/images/Ameo2018 (8).avif,Front View,1   
CAR003,exterior,cars/images/Ameo2018 (9).avif,Front View,1  
CAR003,exterior,cars/images/Ameo2018 (12).avif,Front View,1  
CAR003,exterior,cars/images/Ameo2018 (13).avif,Front View,1  
CAR003,exterior,cars/images/Ameo2018 (14).avif,Front View,1  
CAR003,exterior,cars/images/Ameo2018 (15).avif,Front View,1  
CAR003,exterior,cars/images/Ameo2018 (16).avif,Front View,1  
CAR003,exterior,cars/images/Ameo2018 (17).avif,Front View,1  
CAR003,exterior,cars/images/Ameo2018 (18).avif,Front View,1  
CAR004,exterior,cars/images/Fortuner_2024 (1).avif,Front View,1  
CAR004,exterior,cars/images/Fortuner_2024 (2).avif,Front View,1  
CAR004,exterior,cars/images/Fortuner_2024 (3).avif,Front View,1  
CAR004,exterior,cars/images/Fortuner_2024 (4).avif,Front View,1  
CAR004,exterior,cars/images/Fortuner_2024 (6).avif,Front View,1  
CAR004,exterior,cars/images/Fortuner_2024 (7).avif,Front View,1  
CAR004,exterior,cars/images/Fortuner_2024 (8).avif,Front View,1  
CAR004,exterior,cars/images/Fortuner_2024 (9).avif,Front View,1  
CAR004,exterior,cars/images/Fortuner_2024 (10).avif,Front View,1  
CAR004,exterior,cars/images/Fortuner_2024 (11).avif,Front View,1  
CAR004,exterior,cars/images/Fortuner_2024 (13).avif,Front View,1  
CAR004,exterior,cars/images/Fortuner_2024 (14).avif,Front View,1  
CAR004,exterior,cars/images/Fortuner_2024 (15).avif,Front View,1  
CAR005,exterior,cars/images/Harrier_2021 (4).avif,Front View,1
CAR005,exterior,cars/images/Harrier_2021 (5).avif,Front View,1
CAR005,exterior,cars/images/Harrier_2021 (6).avif,Front View,1
CAR005,exterior,cars/images/Harrier_2021 (7).avif,Front View,1
CAR005,exterior,cars/images/Harrier_2021 (8).avif,Front View,1
CAR005,exterior,cars/images/Harrier_2021 (9).avif,Front View,1
CAR005,exterior,cars/images/Harrier_2021 (10).avif,Front View,1
CAR005,exterior,cars/images/Harrier_2021 (11).avif,Front View,1
CAR005,exterior,cars/images/Harrier_2021 (12).avif,Front View,1
CAR005,exterior,cars/images/Harrier_2021 (13).avif,Front View,1
CAR005,exterior,cars/images/Harrier_2021 (14).avif,Front View,1
CAR005,exterior,cars/images/Harrier_2021 (15).avif,Front View,1
CAR006,exterior,cars/images/suv.png,Front View,1
CAR006,exterior,cars/images/suv.png,Side Profile,2
CAR006,interior,cars/images/suv.png,Spacious Interior,3
CAR007,exterior,cars/images/Seltos_2024_HTE (1).avif,Front View,1  
