car_code,section_key,subsection_key,name,status,remarks
CAR001,core_systems,engine,Engine Noise,flawless,Engine runs smoothly
CAR001,core_systems,transmission,Gear Shifting,flawless,Smooth gear transitions
CAR001,core_systems,chassis,Chassis Condition,flawless,Chassis in excellent condition
CAR001,supporting_systems,fuel_supply,Fuel Pump,flawless,Fuel supply system working perfectly
CAR001,supporting_systems,ignition_system,Spark Plugs,flawless,Ignition system in good condition
CAR001,interiors_ac,ac_system,AC Cooling,flawless,AC system working efficiently
CAR001,interiors_ac,audio_infotainment,Audio System,flawless,Audio system functioning well
CAR001,exteriors_lights,body_panels,Front Bumper,flawless,No damage
CAR001,wear_tear_parts,suspension,Shock Absorbers,minor,Suspension in good condition
CAR001,wear_tear_parts,steering,Steering Response,flawless,Steering working smoothly
CAR002,core_systems,engine,Engine Noise,flawless,Engine runs smoothly
CAR002,core_systems,transmission,Gear Shifting,flawless,Smooth gear transitions
CAR002,core_systems,chassis,Chassis Condition,flawless,Chassis in excellent condition
CAR002,supporting_systems,fuel_supply,Fuel Pump,minor,Fuel supply system working perfectly
CAR002,supporting_systems,ignition_system,Spark Plugs,minor,Ignition system in good condition
CAR002,interiors_ac,ac_system,AC Cooling,flawless,AC system working efficiently
CAR002,interiors_ac,audio_infotainment,Audio System,flawless,Audio system functioning well
CAR002,exteriors_lights,body_panels,Front Bumper,flawless,No damage
CAR002,wear_tear_parts,suspension,Shock Absorbers,flawless,Suspension in good condition
CAR002,wear_tear_parts,steering,Steering Response,flawless,Steering working smoothly
CAR003,core_systems,engine,Engine Noise,flawless,Engine runs smoothly
CAR003,core_systems,transmission,Gear Shifting,flawless,Smooth gear transitions
CAR003,core_systems,chassis,Chassis Condition,flawless,Chassis in excellent condition
CAR003,supporting_systems,fuel_supply,Fuel Pump,flawless,Fuel supply system working perfectly
CAR003,supporting_systems,ignition_system,Spark Plugs,flawless,Ignition system in good condition
CAR003,interiors_ac,ac_system,AC Cooling,flawless,AC system working efficiently
CAR003,interiors_ac,audio_infotainment,Audio System,flawless,Audio system functioning well
CAR003,exteriors_lights,body_panels,Front Bumper,flawless,No damage
CAR003,wear_tear_parts,suspension,Shock Absorbers,flawless,Suspension in good condition
CAR003,wear_tear_parts,steering,Steering Response,flawless,Steering working smoothly
CAR004,core_systems,engine,Engine Noise,minor,Slight engine noise observed
CAR004,core_systems,transmission,Gear Shifting,flawless,Smooth gear transitions
